timestamp,steering,speed,throttle
1745557968.2106118,-0.25,9.15,0.09
1745557969.1251776,-0.25,9.15,0.09
1745557969.872804,-0.25,9.15,0.09
1745557970.6277137,-0.25,9.15,0.09
1745557971.3552809,-0.25,9.15,0.09
1745557972.0885694,-0.25,9.15,0.09
1745557972.8244917,-0.25,9.15,0.09
1745557973.558011,-0.25,9.15,0.09
1745557974.2857344,-0.25,9.15,0.09
1745557975.027353,-0.25,9.15,0.09
1745557975.770025,-0.25,9.15,0.09
1745557976.4863343,-0.25,9.15,0.09
1745557977.2210932,-0.25,9.15,0.09
1745557977.9402568,-0.25,9.15,0.09
1745557978.6736205,-0.25,9.15,0.09
1745557979.4486752,-0.25,9.15,0.09
1745557980.1720035,-0.25,9.15,0.09
1745557980.908933,-0.25,9.15,0.09
1745557981.6450276,-0.25,9.15,0.09
1745557982.3980844,-0.25,9.15,0.09
1745557983.160283,-0.25,9.15,0.09
1745557983.9843626,-0.25,9.15,0.09
1745557984.7422256,-0.25,9.15,0.09
1745557985.5337458,-0.25,9.15,0.09
1745557986.2937512,-0.25,9.15,0.09
1745557987.1004415,-0.25,9.15,0.09
1745557987.9106486,-0.25,9.15,0.09
1745557988.6785285,-0.25,9.15,0.09
1745557989.4581544,-0.25,9.15,0.09
1745557990.2321534,-0.25,9.15,0.09
1745557991.0634646,-0.25,9.15,0.09
1745557991.8707566,-0.25,9.15,0.09
1745557992.6362772,-0.25,9.15,0.09
1745557993.399502,-0.25,9.15,0.09
1745557994.1828053,-0.25,9.15,0.09
1745557994.9732156,-0.25,9.15,0.09
1745557995.747574,-0.25,9.15,0.09
1745557996.527929,-0.25,9.15,0.09
1745557997.3012767,-0.25,9.15,0.09
1745557998.1286724,-0.25,9.15,0.09
1745557998.9530253,-0.25,9.15,0.09
1745557999.7783551,-0.25,9.15,0.09
1745558008.0362744,-0.25,9.15,0.09
1745558008.8294404,-0.25,9.15,0.09
1745558009.6503572,-0.25,9.15,0.09
1745558010.4383388,-0.25,9.15,0.09
1745558011.2512488,-0.25,9.15,0.09
1745558012.0408452,-0.25,9.15,0.09
1745558012.8138182,-0.25,9.15,0.09
1745558013.5912528,-0.25,9.15,0.09
1745558014.3982532,-0.25,9.15,0.09
1745558015.1585972,-0.25,9.15,0.09
1745558015.9633965,-0.25,9.15,0.09
1745558016.737902,-0.25,9.15,0.09
1745558017.568679,-0.25,9.15,0.09
1745558018.3256168,-0.25,9.15,0.09
1745558019.1338062,-0.25,9.15,0.09
1745558019.8909547,-0.25,9.15,0.09
1745558020.6903286,-0.25,9.15,0.09
1745558021.5173233,-0.25,9.15,0.09
1745558022.315975,-0.25,9.15,0.09
1745558023.0992467,-0.25,9.15,0.09
1745558023.929446,-0.25,9.15,0.09
1745558024.7107596,-0.25,9.15,0.09
1745558025.4795558,-0.25,9.15,0.09
1745558026.2537742,-0.25,9.15,0.09
1745558027.0335772,-0.25,9.15,0.09
1745558027.8396564,-0.25,9.15,0.09
1745558028.6981623,-0.25,9.15,0.09
1745558029.4901395,-0.25,9.15,0.09
1745558030.2782853,-0.25,9.15,0.09
1745558031.049229,-0.25,9.15,0.09
1745558031.8201082,-0.25,9.15,0.09
1745558032.6287675,-0.25,9.15,0.09
1745558033.4251976,-0.25,9.15,0.09
1745558034.225541,-0.25,9.15,0.09
