timestamp,gradcam_latency
1754587392.457509,0.012661
1754587392.5091882,0.013491
1754587392.574767,0.018312
1754587392.6648378,0.045354
1754587392.775435,0.030417
1754587392.8257637,0.016341
1754587392.9986427,0.059402
1754587393.837312,0.036872
1754587394.1015167,0.036214
1754587394.1748776,0.024499
1754587394.2288654,0.022483
1754587394.3083348,0.026628
1754587394.3921583,0.037676
1754587394.4904265,0.027009
1754587394.5805366,0.047211
1754587394.642592,0.022030
1754587394.7252312,0.015697
1754587394.7858386,0.015057
1754587394.8333416,0.018037
1754587394.8783243,0.014130
1754587394.9315603,0.019984
1754587394.9925165,0.024234
1754587395.1676059,0.112401
1754587395.340455,0.087622
1754587395.5635092,0.036139
1754587395.6466844,0.033291
1754587395.6903503,0.014592
1754587395.7293422,0.013048
1754587395.7670155,0.010584
1754587395.8035054,0.010695
1754587395.8428917,0.009024
1754587395.8762746,0.010767
1754587395.9077115,0.010260
1754587395.9446023,0.009051
1754587395.9772632,0.010501
1754587396.0161061,0.010358
1754587396.0548713,0.014110
1754587396.101918,0.011604
1754587396.1436374,0.015661
1754587396.1813283,0.009588
1754587396.2176225,0.009589
1754587396.2515602,0.011083
1754587396.2957568,0.012937
1754587396.3327906,0.012989
1754587396.3748639,0.010166
1754587396.4282022,0.016547
1754587396.4718928,0.015593
1754587396.5089884,0.009774
1754587396.5559494,0.012811
1754587396.6003153,0.018287
1754587396.644609,0.017075
1754587396.7087953,0.018049
1754587396.7994187,0.019168
1754587396.8794086,0.018057
1754587396.9381156,0.013983
1754587396.9873269,0.015326
1754587397.035019,0.019846
1754587397.0876906,0.019377
1754587397.3742323,0.044779
1754587397.6342795,0.117429
1754587397.7245953,0.024984
1754587397.7816172,0.012850
1754587397.8178582,0.012154
1754587397.8556626,0.012942
1754587397.9119277,0.019192
1754587397.9560199,0.015353
1754587397.9886842,0.010384
1754587398.0205874,0.009008
1754587398.0525606,0.009073
1754587398.0880232,0.011866
1754587398.1280513,0.018878
1754587398.1650844,0.012059
1754587398.2086532,0.014677
1754587398.2552953,0.022544
1754587398.2877178,0.011515
